t,L,a_w,a_b,min_lat_w,mean_lat_w,max_lat_w,min_lat_b,mean_lat_b,max_lat_b,temp
9050000,1.1,0,0,,,,,,,37.8741
9100000,1.09,0,0,,,,,,,37.1652
9150000,1.08,0,0,,,,,,,36.4513
9200000,1.07,0,0,,,,,,,35.7325
9250000,1.06,0,0,,,,,,,35.0086
9300000,1.05,0,0,,,,,,,34.2796
9350000,1.04,0,0,,,,,,,33.5454
9400000,1.03,0,0,,,,,,,32.8058
9450000,1.02,0,0,,,,,,,32.0608
9500000,1.01,0,0,,,,,,,31.3104
9550000,1,0,0,,,,,,,30.5543
9600000,0.99,0,0,,,,,,,29.7926
9650000,0.98,0,0,,,,,,,29.025
9700000,0.97,0,0,,,,,,,28.2516
9750000,0.96,0,0,,,,,,,27.4721
9800000,0.95,0,0,,,,,,,26.6866
9850000,0.94,0,0,,,,,,,25.8948
9900000,0.93,0,0,,,,,,,25.0967
9950000,0.92,0,0,,,,,,,24.2921
10000000,0.91,0,0,,,,,,,23.4809
10050000,0.9,0,0,,,,,,,22.663
10100000,0.89,0,0,,,,,,,21.8383
10150000,0.88,0,0,,,,,,,21.0066
10200000,0.87,0,0,,,,,,,20.1678
10250000,0.86,0,0,,,,,,,19.3217
10300000,0.85,0,0,,,,,,,18.4682
10350000,0.84,0,0,,,,,,,17.6071
10400000,0.83,0,0,,,,,,,16.7383
10450000,0.82,0,0,,,,,,,15.8616
10500000,0.81,0,0,,,,,,,14.9769
10550000,0.8,0,0,,,,,,,14.0839
10600000,0.79,0,0,,,,,,,13.1826
10650000,0.78,0,0,,,,,,,12.2726
10700000,0.77,0,0,,,,,,,11.3538
10750000,0.76,0,0,,,,,,,10.4261
10800000,0.75,0,0,,,,,,,9.48912
10850000,0.74,0,0,,,,,,,8.54274
10900000,0.73,0,0,,,,,,,7.58672
10950000,0.72,0,0,,,,,,,6.62083
11000000,0.71,0,0,,,,,,,5.64483
11050000,0.7,0,0,,,,,,,4.65846
11100000,0.69,0,0,,,,,,,3.66147
11150000,0.68,0,0,,,,,,,2.65358
11200000,0.67,0,0,,,,,,,1.63451
11250000,0.66,0,0,,,,,,,0.60397
11300000,0.65,0,0,,,,,,,-0.438352
11350000,0.64,0,0,,,,,,,-1.49277
11400000,0.63,0,0,,,,,,,-2.55962
11450000,0.62,0,0,,,,,,,-3.63924
11500000,0.61,0,0,,,,,,,-4.732
11550000,0.6,0,0,,,,,,,-5.83829
11600000,0.59,0,0,,,,,,,-6.95849
11650000,0.58,0,0,,,,,,,-8.09301
11700000,0.57,0,0,,,,,,,-9.24231
11750000,0.56,0,0,,,,,,,-10.4068
11800000,0.55,0,0,,,,,,,-11.5871
11850000,0.54,0,0,,,,,,,-12.7835
11900000,0.53,0,0,,,,,,,-13.9967
11950000,0.52,0,0,,,,,,,-15.2271
12000000,0.51,0,0,,,,,,,-16.4754
12050000,0.5,0,0,,,,,,,-17.7423
