t,L,a_w,a_b,a_g,temp
11050000,0.7,0,0.697448,0,22.5931
11100000,0.69,0,0.69965,0,21.5918
11150000,0.68,0,0.699773,0,20.522
11200000,0.67,0,0.697422,0,19.3732
11250000,0.66,0,0.691929,0,18.1276
11300000,0.65,0,0.682046,0,16.752
11350000,0.64,0,0.665056,0,15.1729
11400000,0.63,0,0.632392,0,13.157
11450000,0.62,0,0,0,-6.90483
11500000,0.61,0,0,0,-7.98435
11550000,0.6,0,0,0,-9.07722
11600000,0.59,0,0,0,-10.1838
11650000,0.58,0,0,0,-11.3046
11700000,0.57,0,0,0,-12.44
11750000,0.56,0,0,0,-13.5904
11800000,0.55,0,0,0,-14.7563
11850000,0.54,0,0,0,-15.9382
11900000,0.53,0,0,0,-17.1367
11950000,0.52,0,0,0,-18.3522
12000000,0.51,0,0,0,-19.5854
12050000,0.5,0,0,0,-20.8369
