t,L,a_w,a_b,a_g,temp
37400,1.04,0,0,0.572349,29.829
37600,1.03,0,0,0.622549,29.0984
37800,1.02,0,0,0.649371,28.3624
38000,1.01,0,0,0.665157,27.6211
38200,1,0,0,0.675795,26.8742
38400,0.99,0,0,0.683648,26.1217
38600,0.98,0,0,0.689623,25.3634
38800,0.97,0,0,0.694088,24.5994
39000,0.96,0,0,0.697215,23.8294
39200,0.95,0,0,0.699084,23.0533
39400,0.94,0,0,0.699736,22.2712
39600,0.93,0,0,0.69917,21.4827
39800,0.92,0,0,0.697358,20.6879
40000,0.91,0,0,0.694237,19.8865
40200,0.9,0,0,0.689708,19.0786
40400,0.89,0,0,0.683634,18.2638
40600,0.88,0,0,0.675824,17.4422
40800,0.87,0,0,0.666029,16.6136
41000,0.86,0,0,0.653921,15.7777
41200,0.85,0,0,0.639069,14.9346
41400,0.84,0,0,0.620917,14.0839
41600,0.83,0,0,0.59874,13.2257
41800,0.82,0,0,0.571602,12.3596
42000,0.81,0,0,0.538322,11.4856
42200,0.8,0,0,0.497469,10.6035
42400,0.79,0,0,0.447468,9.71304
42600,0.78,0,0,0.386985,8.8141
42800,0.77,0,0,0.315864,7.90648
43000,0.76,0,0,0.236818,6.98997
43200,0.75,0,0,0.157244,6.06437
43400,0.74,0,0,0.0885844,5.12947
43600,0.73,0,0,0.0406415,4.18504
43800,0.72,0,0,0.0147263,3.23086
44000,0.71,0,0,0.00536102,2.26669
44200,0.7,0,0,0.00471062,1.29228
44400,0.69,0,0,0.00410673,0.307369
44600,0.68,0,0,0.00355127,-0.688303
44800,0.67,0,0,0.00304518,-1.69501
45000,0.66,0,0,0.00258852,-2.71306
45200,0.65,0,0,0.00218054,-3.74274
45400,0.64,0,0,0.00181971,-4.78438
45600,0.63,0,0,0.00150388,-5.83829
45800,0.62,0,0,0.00123036,-6.90483
46000,0.61,0,0,0,-7.98435
46200,0.6,0,0,0,-9.07722
46400,0.59,0,0,0,-10.1838
46600,0.58,0,0,0,-11.3046
46800,0.57,0,0,0,-12.44
47000,0.56,0,0,0,-13.5904
47200,0.55,0,0,0,-14.7563
47400,0.54,0,0,0,-15.9382
47600,0.53,0,0,0,-17.1367
47800,0.52,0,0,0,-18.3522
48000,0.51,0,0,0,-19.5854
48200,0.5,0,0,0,-20.8369
